http://www.homesellinginmass.net/2012/08/2012-massachusetts-tax-rates.html

Malden	13.58	23.68	23.68
Mansfield	14.31	18.27	18.27
Marblehead	10.21	10.21	10.21
Marion	9.40	9.40	9.40
Marlborough	13.94	27.55	27.55
Marshfield	11.29	11.29	11.29
Mashpee	8.37	8.37	8.37
Mattapoisett	11.26	11.26	11.26
Maynard	17.50	26.91	26.91
Medfield	15.02	15.02	15.02
Medford	11.61	22.98	22.98
Medway	17.10	17.10	17.10
Melrose	12.46	19.01	19.01
Mendon	13.67	13.67	13.67
Merrimac	13.99	13.99	13.99
Methuen	12.69	22.91	22.91
Middleborough	13.05	13.86	13.86
Middlefield	15.12	15.12	15.12
Middleton	12.17	12.17	12.17
Milford	15.22	26.05	26.05
Millbury	14.55	14.55	14.55
Millis	15.41	15.41	15.41
Millville	12.61	12.61	12.61
Milton	14.07	21.56	21.56
Monroe	12.80	27.63	27.63
Monson	14.43	14.43	14.43
Montague	15.28	23.05	23.05
Monterey	5.28	5.28	5.28
Montgomery	13.81	13.81	13.81
Nahant	10.00	10.00	10.00
Nantucket	3.58	6.41	6.41
Natick	12.60	12.60	12.60
Needham	10.90	21.50	21.50
Newbury	10.18	10.18	10.18
Newburyport	12.07	12.07	12.07
Newton	10.90	20.89	20.89
Norfolk	15.10	15.10	15.10
Northampton	12.96	12.96	12.96
Northborough	15.11	15.11	15.11
Northbridge	11.70	11.70	11.70
Northfield	13.72	13.72	13.72
Norton	12.68	12.68	12.68
Norwell	13.87	13.87	13.87
Norwood	10.10	18.99	18.99
Oak Bluffs	7.03	7.03	7.03
Oakham	10.92	10.92	10.92
Orange	16.58	16.58	16.58
Orleans	5.57	5.57	5.57
Otis	6.62	6.62	6.62
Oxford	13.08	13.08	13.08
Palmer	15.85	15.85	15.85
Paxton	17.03	17.03	17.03
Peabody	11.58	23.14	23.14
Pelham	18.20	18.20	18.20
Pembroke	13.47	13.47	13.47
Pepperell	13.13	13.13	13.13
Peru	15.07	15.07	15.07
Petersham	14.17	14.17	14.17
Phillipston	13.67	13.67	13.67
Pittsfield	15.19	30.95	30.95
Plainfield	14.83	14.83	14.83
Plainville	13.57	13.57	13.57
Plymouth	13.04	13.04	13.04
Plympton	15.97	15.97	15.97
Princeton	15.84	15.84	15.84
Provincetown	6.81	6.81	6.81
Quincy	13.42	27.85	27.85
Randolph	15.47	28.07	28.07
Raynham	13.56	18.90	18.90
Reading	13.80	13.80	13.80
Rehoboth	10.13	10.13	10.13
Revere	14.44	29.30	29.30
Richmond	9.04	9.04	9.04
Rochester	12.02	12.02	12.02
Rockland	14.87	14.87	14.87
Rockport	9.80	9.80	9.80
Rowe	5.33	11.56	11.56
Rowley	13.28	13.28	13.28
Royalston	9.28	9.28	9.28
Russell	18.16	18.16	18.16
Rutland	14.14	14.14	14.14
Salem	15.05	29.08	29.08
Salisbury	10.63	10.63	10.63
Sandisfield	9.41	9.41	9.41
Sandwich	12.18	12.18	12.18
Saugus	10.62	23.36	23.36
Savoy	16.23	16.23	16.23
Scituate	11.25	11.25	11.25
Seekonk	11.39	22.62	22.62
Sharon	19.47	19.47	19.47
Sheffield	12.50	12.50	12.50
Shelburne	12.66	12.66	12.66
Sherborn	17.72	17.72	17.72
Shirley	13.69	13.69	13.69
Shrewsbury	10.67	10.67	10.67
Shutesbury	19.37	19.37	19.37
Somerset	11.94	28.62	28.62
Somerville	12.71	21.21	21.21
Southampton	12.96	12.96	12.96
Southborough	15.58	15.58	15.58
Southbridge	17.14	17.14	17.14
Southwick	13.44	13.44	13.44
Spencer	11.07	11.07	11.07
Springfield	19.49	38.97	38.97
Sterling	14.90	14.90	14.90
Stockbridge	7.48	7.48	7.48
Stoneham	12.21	19.63	19.63
Stoughton	13.57	23.67	23.67
Stow	17.05	17.05	17.05
Sturbridge	16.19	16.19	16.19
Sudbury	17.03	22.27	22.27
Sunderland	12.80	12.80	12.80
Sutton	13.25	13.25	13.25
Swampscott	16.60	30.80	30.80
Swansea	10.50	20.91	20.91
Taunton	11.71	25.45	25.45
Templeton	12.55	12.55	12.55
Tewksbury	13.46	21.29	21.29
Tisbury	7.52	9.49	9.49
Tolland	5.44	5.44	5.44
Topsfield	14.83	14.83	14.83
Townsend	15.74	15.74	15.74
Truro	5.69	5.69	5.69
Tyngsborough	14.17	14.17	14.17
Tyringham	6.04	6.04	0.00
Upton	14.64	14.64	14.64
Uxbridge	13.72	13.72	13.72
Wakefield	11.46	23.32	23.32
Wales	14.64	14.64	14.64
Walpole	13.68	17.82	17.82
Waltham	13.09	30.43	30.43
Ware	14.87	14.87	14.87
Wareham	8.93	8.93	8.93
Warren	15.32	15.32	15.32
Warwick	16.70	16.70	16.70
Washington	12.74	12.74	12.74
Watertown	13.92	25.87	25.87
Wayland	19.35	19.35	19.35
Webster	11.16	17.92	17.92
Wellesley	11.43	11.43	11.43
Wellfleet	6.09	6.09	6.09
Wendell	17.99	17.99	17.99
Wenham	17.17	17.17	17.17
Westborough	18.24	18.24	18.24
Westfield	15.41	29.13	29.13
Westford	15.23	15.50	15.50
Westhampton	15.67	15.67	15.67
Westminster	15.14	15.14	15.14
Weston	11.39	11.39	11.39
Westport	6.71	6.71	6.71
Westwood	13.83	25.38	25.38
Weymouth	11.69	19.41	19.41
Whately	15.47	15.47	15.47
Whitman	13.43	13.43	13.43
Wilbraham	16.66	16.66	16.66
Williamsburg	14.89	14.89	14.89
Williamstown	12.70	12.70	12.70
Wilmington	11.88	28.10	28.10
Winchendon	14.06	14.06	14.06
Winchester	12.10	11.35	11.35
Windsor	12.90	12.90	12.90
Winthrop	13.80	13.80	13.80
Woburn	10.30	26.34	26.34
Worcester	16.06	34.65	34.65
Worthington	12.42	12.42	12.42
Wrentham	14.08	16.10	16.10
Yarmouth	8.64	8.64	8.64
Devens	13.25	15.89	15.89
