1	Abington	17.19	17.19
2	Acton	19.45	19.45
3	Acushnet	13.95	17.85
4	Adams	19.95	23.69
5	Agawam	15.55	27.93
6	Alford	4.30	4.30
7	Amesbury	20.97	20.97
8	Amherst	20.97	20.97
9	Andover	15.18	25.25
10	Aquinnah	4.69	4.69
11	Arlington	13.79	13.79
12	Ashburnham	19.83	19.83
13	Ashby	19.10	19.10
14	Ashfield	16.16	16.16
15	Ashland	17.39	17.39
16	Attleboro	14.85	21.59
17	Auburn	17.29	23.38
18	Avon	15.91	32.45
19	Ayer	14.08	28.55
20	Barnstable	9.12	8.22
21	Barre	16.06	16.06
22	Becket	10.44	10.44
23	Bedford	15.71	34.04
24	Belchertown	17.72	17.72
25	Bellingham	14.66	17.91
26	Belmont	13.50	13.50
27	Berkley	12.81	12.81
28	Berlin	16.67	23.91
29	Bernardston	17.48	17.48
30	Beverly	14.16	25.78
31	Billerica	14.29	33.16
32	Blackstone	18.83	18.83
33	Blandford	15.30	15.30
34	Bolton	21.20	21.20
35	Boston	12.58	31.18
36	Bourne	9.68	9.68
37	Boxborough	17.69	17.69
38	Boxford	15.47	15.47
39	Boylston	17.39	17.39
40	Braintree	11.42	26.06
41	Brewster	8.18	8.18
42	Bridgewater	16.25	16.25
43	Brimfield	16.42	16.42
44	Brockton	18.13	33.96
45	Brookfield	18.70	18.70
46	Brookline	11.39	18.50
47	Buckland	15.74	15.74
48	Burlington	12.00	32.24
49	Cambridge	8.38	20.44
50	Canton	12.87	26.53
51	Carlisle	18.64	18.64
52	Carver	17.01	23.64
53	Charlemont	17.20	17.20
54	Charlton	12.66	12.66
55	Chatham	5.08	5.08
56	Chelmsford	18.98	18.98
57	Chelsea	14.88	36.04
58	Cheshire	11.16	11.16
59	Chesterfield	18.44	18.44
60	Chicopee	16.51	29.60
61	Chilmark	2.48	2.48
62	Clarksburg	13.36	13.36
63	Clinton	16.15	30.19
64	Cohasset	12.54	12.54
65	Colrain	17.77	17.77
66	Concord	14.45	14.45
67	Cummington	13.09	13.09
68	Dalton	18.51	18.51
69	Danvers	14.85	20.90
70	Dartmouth	9.86	15.10
71	Dedham	16.08	34.72
72	Deerfield	13.71	13.71
73	Dennis	6.35	6.35
75	Dighton	15.23	28.71
76	Douglas	16.23	16.23
77	Dover	13.08	13.08
78	Dracut	14.49	14.49
79	Dudley	11.68	11.68
80	Dunstable	15.77	15.77
81	Duxbury	16.15	16.15
85	Eastham	7.02	7.02
86	Easthampton	14.86	14.86
87	Easton	16.65	16.65
88	Edgartown	3.70	3.70
89	Erving	8.45	14.04
90	Essex	15.24	15.24
91	Everett	15.04	40.95
92	Fairhaven	11.50	23.21
93	Fall River	12.58	26.68
94	Falmouth	8.15	8.15
95	Fitchburg	19.83	26.32
96	Foxborough	14.99	17.09
97	Framingham	18.29	40.92
98	Franklin	14.45	14.45
99	Freetown	12.61	19.91
100	Gardner	18.87	18.87
101	Georgetown	14.05	14.05
102	Gloucester	12.98	13.86
103	Goshen	14.52	14.52
104	Grafton	15.26	15.26
105	Granby	16.78	16.78
106	Granville	12.66	12.66
108	Greenfield	20.53	20.53
109	Groton	17.38	17.38
110	Groveland	15.06	15.06
111	Hadley	10.64	10.64
112	Halifax	18.67	18.67
113	Hamilton	17.40	17.40
114	Hampden	18.00	18.00
115	Hancock	2.84	2.84
116	Hanover	16.21	17.20
117	Hanson	15.47	15.47
118	Hardwick	15.82	15.82
119	Harvard	17.09	17.09
120	Harwich	8.77	8.77
121	Hatfield	12.67	12.67
122	Haverhill	16.09	26.91
123	Hawley	16.05	16.05
124	Heath	19.12	19.12
125	Hingham	12.56	12.56
126	Hinsdale	12.77	12.77
127	Holbrook	18.77	36.17
128	Holden	17.75	17.75
129	Holland	15.91	15.91
130	Holliston	19.88	19.88
131	Holyoke	19.04	39.74
132	Hopedale	16.29	26.22
133	Hopkinton	17.63	17.63
134	Hubbardston	14.52	14.52
135	Hudson	17.42	34.45
136	Hull	13.87	13.87
137	Huntington	17.05	17.05
138	Ipswich	13.43	13.43
139	Kingston	16.68	16.68
140	Lakeville	14.20	14.20
141	Lancaster	18.91	18.91
142	Lanesborough	18.52	18.52
143	Lawrence	15.61	33.70
144	Lee	14.15	14.15
145	Leicester	14.53	14.53
146	Lenox	12.07	14.91
147	Leominster	18.89	18.89
148	Leverett	19.20	19.20
149	Lexington	15.51	29.56
150	Leyden	16.85	16.85
