151	Lincoln	14.41	18.95
152	Littleton	17.41	29.22
153	Longmeadow	23.15	23.15
154	Lowell	15.14	31.75
155	Ludlow	17.22	17.22
156	Lunenburg	17.99	17.99
157	Lynnfield	14.77	16.59
158	Malden	16.10	25.58
160	Mansfield	15.77	20.45
161	Marblehead	11.09	11.09
162	Marion	10.59	10.59
163	Marlborough	16.11	28.22
164	Marshfield	13.29	13.29
165	Mashpee	9.20	9.20
166	Mattapoisett	12.72	12.72
167	Maynard	22.29	32.28
168	Medfield	16.12	16.12
169	Medford	12.25	24.01
170	Medway	18.84	18.84
171	Melrose	13.28	18.51
172	Mendon	16.02	16.02
173	Merrimac	15.89	15.89
174	Methuen	14.85	24.81
175	Middleborough	15.60	16.59
176	Middlefield	17.42	17.42
177	Middleton	13.90	13.90
178	Milford	17.69	30.68
179	Millbury	17.10	17.10
180	Millis	17.06	17.06
181	Millville	17.18	17.18
182	Milton	14.99	22.97
183	Monson	16.20	16.20
184	Monterey	6.08	6.08
185	Montgomery	14.20	14.20
187	Nahant	11.03	11.03
188	Nantucket	3.76	6.68
189	Natick	14.18	14.18
190	Needham	11.64	22.99
196	Newbury	11.32	11.32
197	Newburyport	14.16	14.16
198	Newton	12.12	23.18
199	Norfolk	17.43	17.43
205	Northampton	15.39	15.39
206	Northborough	16.59	16.59
207	Northbridge	13.26	13.26
208	Northfield	15.49	15.49
209	Norton	15.37	15.37
210	Norwell	16.37	16.37
211	Norwood	11.58	22.22
213	Oakham	12.96	12.96
214	Orleans	6.20	6.20
215	Otis	7.30	7.30
216	Palmer	18.06	18.06
217	Paxton	20.51	20.51
218	Peabody	12.40	24.46
219	Pelham	20.40	20.40
220	Pembroke	14.69	14.69
221	Pepperell	15.86	15.86
222	Peru	17.26	17.26
223	Petersham	15.93	15.93
224	Phillipston	16.29	16.29
225	Pittsfield	17.15	35.17
226	Plainfield	17.88	17.88
227	Plainville	14.96	16.02
228	Plymouth	15.13	15.13
229	Plympton	16.97	16.97
230	Princeton	17.24	17.24
231	Provincetown	7.25	7.25
232	Quincy	14.86	31.23
233	Randolph	18.17	32.11
234	Raynham	15.42	21.63
235	Reading	14.74	14.74
236	Rehoboth	12.44	12.44
237	Revere	15.55	31.55
238	Richmond	10.29	10.29
239	Rochester	13.85	13.85
240	Rockland	18.34	18.34
241	Rockport	11.27	11.27
242	Rowe	6.07	13.38
243	Rowley	14.74	14.74
244	Rutland	17.11	17.11
245	Salem	16.73	32.05
246	Salisbury	11.79	11.79
247	Sandisfield	12.70	12.70
248	Sandwich	14.57	14.57
249	Saugus	11.61	25.62
250	Savoy	15.96	15.96
251	Scituate	13.05	13.05
252	Seekonk	13.33	26.52
253	Sharon	20.55	20.55
254	Sheffield	13.74	13.74
255	Shelburne	13.62	13.62
256	Sherborn	20.34	20.34
257	Shirley	16.75	16.75
258	Shrewsbury	12.17	12.17
259	Shutesbury	20.60	20.60
260	Somerville	12.66	21.51
263	Southampton	15.20	15.20
264	Southborough	16.18	16.18
265	Southbridge	19.64	19.64
266	Southwick	17.06	17.06
267	Spencer	13.15	13.15
268	Springfield	19.71	39.04
269	Sterling	16.93	16.93
270	Stockbridge	8.76	8.76
271	Stoneham	13.49	22.00
272	Stoughton	15.74	26.09
273	Stow	19.17	19.17
274	Sturbridge	19.20	21.65
275	Sudbury	18.03	24.94
276	Sutton	16.88	16.88
277	Swampscott	18.70	34.79
278	Swansea	12.84	23.44
279	Taunton	14.61	31.19
280	Tewksbury	16.11	26.64
281	Tisbury	8.39	7.85
282	Tolland	7.24	7.24
283	Topsfield	16.16	16.16
284	Townsend	19.57	19.57
285	Truro	6.43	6.43
286	Tyngsborough	16.78	16.78
287	Tyringham	6.58	6.58
288	Upton	16.95	16.95
289	Uxbridge	17.31	17.31
290	Wakefield	12.78	26.07
291	Wales	17.41	17.41
292	Walpole	15.76	21.04
293	Waltham	13.43	31.97
294	Ware	18.31	18.31
295	Wareham	10.77	10.77
296	Warren	19.10	19.10
297	Warwick	18.33	18.33
298	Washington	13.43	13.43
299	Watertown	14.96	27.96
300	Wayland	18.33	18.33
301	Webster	13.29	19.40
302	Wellesley	11.54	11.54
303	Wellfleet	6.70	6.70
304	Wendell	19.18	19.18
305	Wenham	18.88	18.88
313	Westborough	19.29	19.29
314	Westfield	18.18	33.84
315	Westford	16.60	16.83
316	Westhampton	17.67	17.67
317	Westminster	18.98	18.98
318	Weston	12.73	12.73
319	Westport	7.70	7.70
320	Westwood	15.40	28.18
321	Weymouth	13.30	21.70
322	Whately	15.77	15.77
323	Whitman	15.81	15.81
324	Wilbraham	20.44	20.44
325	Williamsburg	17.37	17.37
326	Williamstown	15.28	15.28
327	Wilmington	14.24	33.04
328	Winchester	12.66	11.91
329	Windsor	13.16	13.16
330	Winthrop	15.58	15.58
331	Woburn	10.44	27.41
332	Worcester	19.54	30.83
333	Worthington	14.00	14.00
334	Wrentham	15.31	18.55
335	Yarmouth	10.19	10.19
